bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.025629629629629591e-03
5.000000000000000000e+00,3.558078602620087100e-02
6.000000000000000000e+00,9.818839360807402050e-02
7.000000000000000000e+00,1.009890879967964838e-01
8.000000000000000000e+00,9.008437067773167328e-02
9.000000000000000000e+00,7.724235963041932440e-02
1.000000000000000000e+01,7.069625441696111845e-02
1.100000000000000000e+01,6.428731127529713207e-02
1.200000000000000000e+01,5.875549255846915925e-02
1.300000000000000000e+01,5.434936350777934411e-02
1.400000000000000000e+01,5.043676069153775476e-02
1.500000000000000000e+01,4.707430997876857481e-02
1.600000000000000000e+01,4.419469964664310413e-02
1.700000000000000000e+01,4.159501143213468338e-02
1.800000000000000000e+01,3.928417746368276231e-02
1.900000000000000000e+01,3.721658917612050838e-02
2.000000000000000000e+01,3.535575971731448608e-02
2.100000000000000000e+01,3.367215211172808198e-02
2.200000000000000000e+01,3.178954545454545921e-02
2.300000000000000000e+01,3.074413888462129013e-02
2.400000000000000000e+01,2.946313309776206826e-02
2.500000000000000000e+01,2.828460777385158678e-02
2.600000000000000000e+01,2.708793522267206183e-02
2.700000000000000000e+01,2.618945164245517140e-02
2.800000000000000000e+01,2.525411408379605802e-02
2.900000000000000000e+01,2.438328256366516233e-02
3.000000000000000000e+01,2.357050647820965392e-02
3.100000000000000000e+01,2.281016755955773273e-02
3.200000000000000000e+01,2.209734982332155206e-02
