bits,value
2.000000000000000000e+00,1.511999999999999886e+02
4.000000000000000000e+00,2.391999999999999886e+02
5.000000000000000000e+00,2.433000000000000114e+02
6.000000000000000000e+00,2.760000000000000000e+02
7.000000000000000000e+00,2.370999999999999943e+02
8.000000000000000000e+00,2.633999999999999773e+02
9.000000000000000000e+00,2.451999999999999886e+02
1.000000000000000000e+01,2.375999999999999943e+02
1.100000000000000000e+01,2.738999999999999773e+02
1.200000000000000000e+01,3.108000000000000114e+02
1.300000000000000000e+01,2.595000000000000000e+02
1.400000000000000000e+01,2.810000000000000000e+02
1.500000000000000000e+01,2.958999999999999773e+02
1.600000000000000000e+01,2.171999999999999886e+02
1.700000000000000000e+01,2.246999999999999886e+02
1.800000000000000000e+01,2.175999999999999943e+02
1.900000000000000000e+01,1.689000000000000057e+02
2.000000000000000000e+01,1.666999999999999886e+02
2.100000000000000000e+01,1.673000000000000114e+02
2.200000000000000000e+01,2.015000000000000000e+02
2.300000000000000000e+01,2.494000000000000057e+02
2.400000000000000000e+01,2.431999999999999886e+02
2.500000000000000000e+01,2.581999999999999886e+02
2.600000000000000000e+01,2.250000000000000000e+02
2.700000000000000000e+01,2.185000000000000000e+02
2.800000000000000000e+01,2.275999999999999943e+02
2.900000000000000000e+01,1.830000000000000000e+02
3.000000000000000000e+01,1.494000000000000057e+02
3.100000000000000000e+01,1.830000000000000000e+02
3.200000000000000000e+01,1.795999999999999943e+02
