bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,7.269999999999999987e-04
5.000000000000000000e+00,8.680000000000000215e-02
6.000000000000000000e+00,4.309999999999999942e-01
7.000000000000000000e+00,5.600000000000000533e-01
8.000000000000000000e+00,5.789999999999999591e-01
9.000000000000000000e+00,5.500000000000000444e-01
1.000000000000000000e+01,5.779999999999999583e-01
1.100000000000000000e+01,5.749999999999999556e-01
1.200000000000000000e+01,5.749999999999999556e-01
1.300000000000000000e+01,5.729999999999999538e-01
1.400000000000000000e+01,5.739999999999999547e-01
1.500000000000000000e+01,5.739999999999999547e-01
1.600000000000000000e+01,5.739999999999999547e-01
1.700000000000000000e+01,5.739999999999999547e-01
1.800000000000000000e+01,5.739999999999999547e-01
1.900000000000000000e+01,5.739999999999999547e-01
2.000000000000000000e+01,5.739999999999999547e-01
2.100000000000000000e+01,5.739999999999999547e-01
2.200000000000000000e+01,5.620000000000000551e-01
2.300000000000000000e+01,5.739999999999999547e-01
2.400000000000000000e+01,5.739999999999999547e-01
2.500000000000000000e+01,5.739999999999999547e-01
2.600000000000000000e+01,5.600000000000000533e-01
2.700000000000000000e+01,5.739999999999999547e-01
2.800000000000000000e+01,5.739999999999999547e-01
2.900000000000000000e+01,5.739999999999999547e-01
3.000000000000000000e+01,5.739999999999999547e-01
3.100000000000000000e+01,5.739999999999999547e-01
3.200000000000000000e+01,5.739999999999999547e-01
