bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.399999999999990141e-02
2.500000000000000000e+01,-1.399999999999990141e-02
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.199999999999989964e-02
2.100000000000000000e+01,-1.199999999999989964e-02
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000888e-03
1.200000000000000000e+01,-2.000000000000001776e-03
1.100000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,-3.000000000000002665e-03
9.000000000000000000e+00,2.799999999999991385e-02
8.000000000000000000e+00,-2.899999999999991473e-02
7.000000000000000000e+00,1.899999999999990585e-02
6.000000000000000000e+00,1.290000000000000591e-01
5.000000000000000000e+00,3.442000000000000060e-01
4.000000000000000000e+00,8.607299999999999673e-02
2.000000000000000000e+00,7.269999999999999987e-04
