bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.700000000000001510e-02
2.500000000000000000e+01,-1.700000000000001510e-02
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,1.500000000000001332e-02
2.100000000000000000e+01,-1.500000000000001332e-02
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000888e-03
1.200000000000000000e+01,-3.000000000000002665e-03
1.100000000000000000e+01,1.000000000000000888e-03
1.000000000000000000e+01,-5.000000000000004441e-03
9.000000000000000000e+00,3.900000000000003464e-02
8.000000000000000000e+00,-3.100000000000002753e-02
7.000000000000000000e+00,8.000000000000007105e-03
6.000000000000000000e+00,1.570000000000000284e-01
5.000000000000000000e+00,4.529999999999999583e-01
4.000000000000000000e+00,1.277200000000000002e-01
2.000000000000000000e+00,1.280000000000000105e-03
