bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.200000000000000262e-04
5.000000000000000000e+00,2.580000000000000002e-02
6.000000000000000000e+00,9.699999999999998901e-02
7.000000000000000000e+00,1.055714285714285661e-01
8.000000000000000000e+00,9.337499999999999967e-02
9.000000000000000000e+00,7.955555555555554603e-02
1.000000000000000000e+01,7.549999999999999767e-02
1.100000000000000000e+01,6.818181818181817677e-02
1.200000000000000000e+01,6.258333333333333803e-02
1.300000000000000000e+01,5.753846153846153832e-02
1.400000000000000000e+01,5.349999999999999895e-02
1.500000000000000000e+01,4.993333333333333651e-02
1.600000000000000000e+01,4.681249999999999994e-02
1.700000000000000000e+01,4.405882352941176139e-02
1.800000000000000000e+01,4.161111111111111260e-02
1.900000000000000000e+01,3.942105263157894696e-02
2.000000000000000000e+01,3.744999999999999718e-02
2.100000000000000000e+01,3.566666666666666596e-02
2.200000000000000000e+01,3.336363636363636614e-02
2.300000000000000000e+01,3.256521739130435050e-02
2.400000000000000000e+01,3.120833333333333445e-02
2.500000000000000000e+01,2.996000000000000052e-02
2.600000000000000000e+01,2.815384615384615430e-02
2.700000000000000000e+01,2.774074074074073942e-02
2.800000000000000000e+01,2.674999999999999947e-02
2.900000000000000000e+01,2.582758620689655157e-02
3.000000000000000000e+01,2.496666666666666826e-02
3.100000000000000000e+01,2.416129032258064468e-02
3.200000000000000000e+01,2.340624999999999997e-02
