bits,pct_error
2.000000000000000000e+00,9.900480798263659210e+01
3.000000000000000000e+00,9.396961399022190164e+01
4.000000000000000000e+00,8.026232426536493847e+01
5.000000000000000000e+00,6.011576261371374130e+01
6.000000000000000000e+00,4.052422432571478339e+01
7.000000000000000000e+00,2.566484218174270637e+01
8.000000000000000000e+00,1.563552554225784696e+01
9.000000000000000000e+00,9.257426459125467133e+00
1.000000000000000000e+01,5.401165482531911977e+00
1.100000000000000000e+01,3.119124237236555963e+00
1.200000000000000000e+01,1.793833601491889640e+00
1.300000000000000000e+01,1.028501614288463095e+00
1.400000000000000000e+01,5.892217794558516353e-01
1.500000000000000000e+01,3.345964865709003533e-01
1.600000000000000000e+01,1.889356026033223168e-01
1.700000000000000000e+01,1.045571914840460054e-01
1.800000000000000000e+01,5.672369052171621212e-02
1.900000000000000000e+01,2.969375718761846361e-02
2.000000000000000000e+01,1.335912721644709825e-02
2.100000000000000000e+01,6.691750624832198784e-03
2.200000000000000000e+01,3.652757257285578658e-03
2.300000000000000000e+01,2.250319831476310737e-03
2.400000000000000000e+01,1.606329660926244379e-03
2.500000000000000000e+01,1.533514111034126482e-03
2.600000000000000000e+01,1.523674645386508377e-03
2.700000000000000000e+01,1.521602041782313224e-03
2.800000000000000000e+01,1.521602041782313224e-03
2.900000000000000000e+01,1.521602041782313224e-03
3.000000000000000000e+01,1.521602041782313224e-03
3.100000000000000000e+01,1.521602041782313224e-03
3.200000000000000000e+01,1.521602041782313224e-03
