bits,pct_error
2.000000000000000000e+00,9.856934861732962361e+01
3.000000000000000000e+00,9.064766574915641684e+01
4.000000000000000000e+00,7.416381313175450885e+01
5.000000000000000000e+00,5.364455341926363729e+01
6.000000000000000000e+00,3.541258780764100322e+01
7.000000000000000000e+00,2.206717603610920264e+01
8.000000000000000000e+00,1.343378003717201707e+01
9.000000000000000000e+00,8.072544032735800457e+00
1.000000000000000000e+01,4.848732517604700476e+00
1.100000000000000000e+01,2.946468454097331602e+00
1.200000000000000000e+01,1.836744248116378708e+00
1.300000000000000000e+01,1.186901425897134876e+00
1.400000000000000000e+01,7.858584748373189655e-01
1.500000000000000000e+01,4.703388952606712414e-01
1.600000000000000000e+01,2.821435555044763399e-01
1.700000000000000000e+01,1.524264520603885453e-01
1.800000000000000000e+01,7.943838102065192697e-02
1.900000000000000000e+01,4.135529861716966127e-02
2.000000000000000000e+01,2.033597408018947283e-02
2.100000000000000000e+01,9.974861011448928408e-03
2.200000000000000000e+01,6.110576403956534397e-03
2.300000000000000000e+01,3.868374256441209792e-03
2.400000000000000000e+01,3.364228809414395675e-03
2.500000000000000000e+01,3.256734817751934154e-03
2.600000000000000000e+01,3.254697484919077087e-03
2.700000000000000000e+01,3.234744308618549887e-03
2.800000000000000000e+01,3.234744308618549887e-03
2.900000000000000000e+01,3.234744308618549887e-03
3.000000000000000000e+01,3.234744308618549887e-03
3.100000000000000000e+01,3.234744308618549887e-03
3.200000000000000000e+01,3.234744308618549887e-03
