bits,pct_error
2.000000000000000000e+00,9.587979344363064627e+01
3.000000000000000000e+00,8.392735538408928164e+01
4.000000000000000000e+00,6.451709399518279042e+01
5.000000000000000000e+00,4.446965030480905767e+01
6.000000000000000000e+00,2.855072372698599636e+01
7.000000000000000000e+00,1.742967306012191742e+01
8.000000000000000000e+00,1.025406538374414822e+01
9.000000000000000000e+00,5.914545524265309773e+00
1.000000000000000000e+01,3.339801155049929804e+00
1.100000000000000000e+01,1.867438110849368726e+00
1.200000000000000000e+01,1.027815940594252631e+00
1.300000000000000000e+01,5.634245809036205754e-01
1.400000000000000000e+01,3.044756051111239259e-01
1.500000000000000000e+01,1.599221349942567538e-01
1.600000000000000000e+01,8.672682453140727332e-02
1.700000000000000000e+01,4.594549186924606204e-02
1.800000000000000000e+01,2.429545784744948159e-02
1.900000000000000000e+01,1.260786471767019572e-02
2.000000000000000000e+01,6.370395188583905487e-03
2.100000000000000000e+01,3.277502045703446949e-03
2.200000000000000000e+01,1.687252646876430872e-03
2.300000000000000000e+01,9.167436342823917202e-04
2.400000000000000000e+01,4.697700283518128103e-04
2.500000000000000000e+01,3.138809235233700791e-04
2.600000000000000000e+01,3.022354087472691950e-04
2.700000000000000000e+01,2.945151949781983224e-04
2.800000000000000000e+01,2.923795021734621564e-04
2.900000000000000000e+01,2.923795021734621564e-04
3.000000000000000000e+01,2.923795021734621564e-04
3.100000000000000000e+01,2.923795021734621564e-04
3.200000000000000000e+01,2.923795021734621564e-04
