bits,pct_error
2.000000000000000000e+00,9.728588231445587553e+01
3.000000000000000000e+00,8.855701869296044038e+01
4.000000000000000000e+00,7.300855353781857104e+01
5.000000000000000000e+00,5.292988204080419479e+01
6.000000000000000000e+00,3.498109559115675182e+01
7.000000000000000000e+00,2.187005275687605987e+01
8.000000000000000000e+00,1.308539706023083582e+01
9.000000000000000000e+00,7.612314063109956841e+00
1.000000000000000000e+01,4.350220468423338538e+00
1.100000000000000000e+01,2.452129404631817611e+00
1.200000000000000000e+01,1.367188542397193451e+00
1.300000000000000000e+01,7.554739166171765552e-01
1.400000000000000000e+01,4.114579033673940178e-01
1.500000000000000000e+01,2.220731984652019597e-01
1.600000000000000000e+01,1.200826115986199094e-01
1.700000000000000000e+01,6.405728501619901982e-02
1.800000000000000000e+01,3.362584307139804274e-02
1.900000000000000000e+01,1.792708178668034683e-02
2.000000000000000000e+01,8.904014282858587273e-03
2.100000000000000000e+01,4.551782302571351531e-03
2.200000000000000000e+01,2.281971157033568266e-03
2.300000000000000000e+01,1.247728402075636922e-03
2.400000000000000000e+01,6.683984715258815519e-04
2.500000000000000000e+01,4.823859159597151361e-04
2.600000000000000000e+01,4.814793103343200796e-04
2.700000000000000000e+01,4.810975728423024476e-04
2.800000000000000000e+01,4.791236017910808619e-04
2.900000000000000000e+01,4.791236017910808619e-04
3.000000000000000000e+01,4.791236017910808619e-04
3.100000000000000000e+01,4.791236017910808619e-04
3.200000000000000000e+01,4.791236017910808619e-04
