bits,pct_error
2.000000000000000000e+00,9.888746000704217920e+01
3.000000000000000000e+00,9.262317068915550067e+01
4.000000000000000000e+00,7.815063155251122851e+01
5.000000000000000000e+00,5.813460753711520823e+01
6.000000000000000000e+00,3.921834748299395557e+01
7.000000000000000000e+00,2.502133004275745876e+01
8.000000000000000000e+00,1.550068556829839217e+01
9.000000000000000000e+00,9.470403827714118705e+00
1.000000000000000000e+01,5.757476529170112656e+00
1.100000000000000000e+01,3.529981838550693585e+00
1.200000000000000000e+01,2.202202284774142704e+00
1.300000000000000000e+01,1.394681674699442819e+00
1.400000000000000000e+01,8.887398518391158575e-01
1.500000000000000000e+01,5.713977753781921409e-01
1.600000000000000000e+01,3.422243736540472869e-01
1.700000000000000000e+01,1.785388836455379657e-01
1.800000000000000000e+01,9.865410604884519707e-02
1.900000000000000000e+01,5.080559128787097423e-02
2.000000000000000000e+01,2.672442489923566172e-02
2.100000000000000000e+01,1.349840485666259360e-02
2.200000000000000000e+01,7.030425325568244975e-03
2.300000000000000000e+01,4.398360689105897808e-03
2.400000000000000000e+01,3.842773410221582680e-03
2.500000000000000000e+01,3.675211087385891334e-03
2.600000000000000000e+01,3.670522336390414069e-03
2.700000000000000000e+01,3.677596838409950396e-03
2.800000000000000000e+01,3.677596838409950396e-03
2.900000000000000000e+01,3.677596838409950396e-03
3.000000000000000000e+01,3.677596838409950396e-03
3.100000000000000000e+01,3.677596838409950396e-03
3.200000000000000000e+01,3.677596838409950396e-03
