bits,pct_error
2.000000000000000000e+00,9.858220283474240375e+01
3.000000000000000000e+00,9.226165389021237218e+01
4.000000000000000000e+00,7.773344133581433368e+01
5.000000000000000000e+00,5.771969874049462845e+01
6.000000000000000000e+00,3.848211428978376603e+01
7.000000000000000000e+00,2.400892204752872061e+01
8.000000000000000000e+00,1.433641645939104059e+01
9.000000000000000000e+00,8.346222564929149712e+00
1.000000000000000000e+01,4.759621218730148762e+00
1.100000000000000000e+01,2.677592260500652799e+00
1.200000000000000000e+01,1.487207496982245303e+00
1.300000000000000000e+01,8.175945079860938991e-01
1.400000000000000000e+01,4.445763145942316918e-01
1.500000000000000000e+01,2.393373925986538864e-01
1.600000000000000000e+01,1.287435226942530708e-01
1.700000000000000000e+01,6.868725852777898822e-02
1.800000000000000000e+01,3.583260621264834633e-02
1.900000000000000000e+01,1.886520921350402433e-02
2.000000000000000000e+01,9.555084135273419349e-03
2.100000000000000000e+01,4.748183838406323971e-03
2.200000000000000000e+01,2.441360186716724171e-03
2.300000000000000000e+01,1.403982919115937889e-03
2.400000000000000000e+01,7.229119523077632637e-04
2.500000000000000000e+01,6.124499626389411523e-04
2.600000000000000000e+01,5.922522774909256714e-04
2.700000000000000000e+01,5.915777539452651921e-04
2.800000000000000000e+01,5.915777539452651921e-04
2.900000000000000000e+01,5.915777539452651921e-04
3.000000000000000000e+01,5.915777539452651921e-04
3.100000000000000000e+01,5.915777539452651921e-04
3.200000000000000000e+01,5.915777539452651921e-04
