bits,pct_error
2.000000000000000000e+00,9.732037431532793903e+01
3.000000000000000000e+00,8.725020482693568624e+01
4.000000000000000000e+00,6.907594147885200186e+01
5.000000000000000000e+00,4.838102033896611687e+01
6.000000000000000000e+00,3.099963843711827138e+01
7.000000000000000000e+00,1.890450136109006252e+01
8.000000000000000000e+00,1.111069656170830910e+01
9.000000000000000000e+00,6.386221506250191915e+00
1.000000000000000000e+01,3.592445878749989774e+00
1.100000000000000000e+01,2.003534577238271996e+00
1.200000000000000000e+01,1.104192802507319771e+00
1.300000000000000000e+01,6.051613593581801620e-01
1.400000000000000000e+01,3.295101859356970309e-01
1.500000000000000000e+01,1.768575527448504603e-01
1.600000000000000000e+01,9.751422969004286401e-02
1.700000000000000000e+01,5.364137613973485319e-02
1.800000000000000000e+01,3.047845932272112007e-02
1.900000000000000000e+01,1.742186437303923363e-02
2.000000000000000000e+01,9.591360997159660562e-03
2.100000000000000000e+01,4.781003042775508645e-03
2.200000000000000000e+01,2.497796387403202877e-03
2.300000000000000000e+01,1.167235318557866691e-03
2.400000000000000000e+01,5.845853517503021585e-04
2.500000000000000000e+01,4.227291655996595252e-04
2.600000000000000000e+01,3.526272850558548940e-04
2.700000000000000000e+01,3.459302295388876698e-04
2.800000000000000000e+01,3.459302295388876698e-04
2.900000000000000000e+01,3.459302295388876698e-04
3.000000000000000000e+01,3.459302295388876698e-04
3.100000000000000000e+01,3.459302295388876698e-04
3.200000000000000000e+01,3.459302295388876698e-04
