bits,pct_error
2.000000000000000000e+00,9.900127016605540575e+01
3.000000000000000000e+00,9.393779430638022632e+01
4.000000000000000000e+00,8.036015774795716027e+01
5.000000000000000000e+00,6.043896006748956751e+01
6.000000000000000000e+00,4.084845259885258884e+01
7.000000000000000000e+00,2.587187731001067803e+01
8.000000000000000000e+00,1.575105452840340980e+01
9.000000000000000000e+00,9.317976225822427239e+00
1.000000000000000000e+01,5.430715148558809879e+00
1.100000000000000000e+01,3.129789731303419309e+00
1.200000000000000000e+01,1.794780438198125383e+00
1.300000000000000000e+01,1.026581334510293875e+00
1.400000000000000000e+01,5.860750246277099951e-01
1.500000000000000000e+01,3.318263786051324216e-01
1.600000000000000000e+01,1.868837103163599467e-01
1.700000000000000000e+01,1.033068303277688560e-01
1.800000000000000000e+01,5.600250243505652120e-02
1.900000000000000000e+01,2.938090713938280515e-02
2.000000000000000000e+01,1.334830400845235347e-02
2.100000000000000000e+01,6.634719072428591630e-03
2.200000000000000000e+01,3.625198431139404608e-03
2.300000000000000000e+01,2.232268080095012579e-03
2.400000000000000000e+01,1.581005329336965812e-03
2.500000000000000000e+01,1.508224811195244507e-03
2.600000000000000000e+01,1.499069372571257492e-03
2.700000000000000000e+01,1.497140853709599860e-03
2.800000000000000000e+01,1.497140853709599860e-03
2.900000000000000000e+01,1.497140853709599860e-03
3.000000000000000000e+01,1.497140853709599860e-03
3.100000000000000000e+01,1.497140853709599860e-03
3.200000000000000000e+01,1.497140853709599860e-03
