bits,pct_error
2.000000000000000000e+00,9.965044578601573733e+01
3.000000000000000000e+00,9.542119008028643634e+01
4.000000000000000000e+00,8.074961810790259165e+01
5.000000000000000000e+00,5.921074145141689371e+01
6.000000000000000000e+00,3.916210779898811012e+01
7.000000000000000000e+00,2.439629311469951034e+01
8.000000000000000000e+00,1.461491094441848837e+01
9.000000000000000000e+00,8.520023243223455722e+00
1.000000000000000000e+01,4.869731328779317359e+00
1.100000000000000000e+01,2.744229471286887101e+00
1.200000000000000000e+01,1.527998104876164165e+00
1.300000000000000000e+01,8.423732506009568022e-01
1.400000000000000000e+01,4.619242779630565732e-01
1.500000000000000000e+01,2.509471019028302052e-01
1.600000000000000000e+01,1.356889003368085267e-01
1.700000000000000000e+01,7.277866170625202358e-02
1.800000000000000000e+01,3.938157439509153146e-02
1.900000000000000000e+01,2.056741650775798305e-02
2.000000000000000000e+01,1.063949855545709769e-02
2.100000000000000000e+01,5.372055666784631561e-03
2.200000000000000000e+01,2.469921708964925317e-03
2.300000000000000000e+01,1.249043518826957987e-03
2.400000000000000000e+01,6.464291635698754318e-04
2.500000000000000000e+01,3.249569430338318477e-04
2.600000000000000000e+01,1.669635055081119125e-04
2.700000000000000000e+01,7.908411402553424416e-05
2.800000000000000000e+01,3.979209105668344833e-05
2.900000000000000000e+01,1.996044808264017741e-05
3.000000000000000000e+01,1.007821184259029630e-05
3.100000000000000000e+01,4.951553633015076334e-06
3.200000000000000000e+01,2.762782144823069183e-06
