bits,pct_error
2.000000000000000000e+00,9.953920730447347864e+01
3.000000000000000000e+00,9.532617027253176900e+01
4.000000000000000000e+00,8.145510587280830350e+01
5.000000000000000000e+00,6.091491842428139591e+01
6.000000000000000000e+00,4.078366557647169088e+01
7.000000000000000000e+00,2.551767984487577934e+01
8.000000000000000000e+00,1.527246902325907563e+01
9.000000000000000000e+00,8.897326758081934628e+00
1.000000000000000000e+01,5.085623257616287418e+00
1.100000000000000000e+01,2.863428745711370738e+00
1.200000000000000000e+01,1.596343422625873254e+00
1.300000000000000000e+01,8.775185200229155269e-01
1.400000000000000000e+01,4.799344483595567867e-01
1.500000000000000000e+01,2.595077830283599729e-01
1.600000000000000000e+01,1.389126421656280419e-01
1.700000000000000000e+01,7.378849020872710329e-02
1.800000000000000000e+01,3.892689824733196191e-02
1.900000000000000000e+01,2.006996495850144405e-02
2.000000000000000000e+01,1.039634783679921522e-02
2.100000000000000000e+01,5.169672797908192799e-03
2.200000000000000000e+01,2.485515233953884684e-03
2.300000000000000000e+01,1.273312674455022615e-03
2.400000000000000000e+01,6.288487072018231379e-04
2.500000000000000000e+01,3.199264704389619823e-04
2.600000000000000000e+01,1.600795771934904416e-04
2.700000000000000000e+01,7.992273345279970022e-05
2.800000000000000000e+01,3.977901907339513902e-05
2.900000000000000000e+01,1.984932596498656935e-05
3.000000000000000000e+01,9.675141902196032729e-06
3.100000000000000000e+01,4.944156967020837320e-06
3.200000000000000000e+01,2.610276395817972779e-06
