bits,value
2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.475265957446808329e-01
1.100000000000000000e+01,7.437858099062918393e-01
1.200000000000000000e+01,7.453902601734488931e-01
1.300000000000000000e+01,7.467890884896872805e-01
1.400000000000000000e+01,7.463648468708389272e-01
1.500000000000000000e+01,7.472127659574467895e-01
1.600000000000000000e+01,7.472127659574467895e-01
1.700000000000000000e+01,7.459400399733511211e-01
1.800000000000000000e+01,7.472127659574467895e-01
1.900000000000000000e+01,7.472127659574467895e-01
2.000000000000000000e+01,7.472127659574467895e-01
2.100000000000000000e+01,7.335199459093982854e-01
2.200000000000000000e+01,7.472127659574467895e-01
2.300000000000000000e+01,7.472127659574467895e-01
2.400000000000000000e+01,7.472127659574467895e-01
2.500000000000000000e+01,7.472127659574467895e-01
2.600000000000000000e+01,7.472127659574467895e-01
2.700000000000000000e+01,7.437009345794391990e-01
2.800000000000000000e+01,7.472127659574467895e-01
2.900000000000000000e+01,7.472127659574467895e-01
3.000000000000000000e+01,7.408471849865952974e-01
3.100000000000000000e+01,7.472127659574467895e-01
