bits,delta
3.000000000000000000e+01,6.365580970851492104e-03
2.900000000000000000e+01,-6.365580970851492104e-03
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,3.511831378007590487e-03
2.600000000000000000e+01,-3.511831378007590487e-03
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.369282004804850406e-02
2.000000000000000000e+01,-1.369282004804850406e-02
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,1.272725984095668395e-03
1.600000000000000000e+01,-1.272725984095668395e-03
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,8.479190866078623046e-04
1.300000000000000000e+01,-4.242416188483533190e-04
1.200000000000000000e+01,1.398828316238387437e-03
1.100000000000000000e+01,1.604450267157053744e-03
1.000000000000000000e+01,-3.740785838388993589e-03
2.000000000000000000e+00,7.475265957446808329e-01
