bits,value
2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.475265957446808329e-02
1.100000000000000000e+01,6.761689180966289070e-02
1.200000000000000000e+01,6.211585501445407442e-02
1.300000000000000000e+01,5.744531449920671495e-02
1.400000000000000000e+01,5.331177477648849777e-02
1.500000000000000000e+01,4.981418439716311930e-02
1.600000000000000000e+01,4.670079787234042434e-02
1.700000000000000000e+01,4.387882588078535762e-02
1.800000000000000000e+01,4.151182033096926377e-02
1.900000000000000000e+01,3.932698768197088329e-02
2.000000000000000000e+01,3.736063829787233947e-02
2.100000000000000000e+01,3.492952123378086776e-02
2.200000000000000000e+01,3.396421663442939637e-02
2.300000000000000000e+01,3.248751156336725232e-02
2.400000000000000000e+01,3.113386524822694956e-02
2.500000000000000000e+01,2.988851063829787297e-02
2.600000000000000000e+01,2.873895253682487785e-02
2.700000000000000000e+01,2.754447905849774850e-02
2.800000000000000000e+01,2.668617021276595627e-02
2.900000000000000000e+01,2.576595744680850938e-02
3.000000000000000000e+01,2.469490616621984255e-02
3.100000000000000000e+01,2.410363761153054216e-02
