bits,value
2.000000000000000000e+00,5.145000000000000000e+02
1.000000000000000000e+01,7.606000000000000227e+02
1.100000000000000000e+01,7.443999999999999773e+02
1.200000000000000000e+01,7.578999999999999773e+02
1.300000000000000000e+01,7.067000000000000455e+02
1.400000000000000000e+01,7.427999999999999545e+02
1.500000000000000000e+01,6.506000000000000227e+02
1.600000000000000000e+01,6.762999999999999545e+02
1.700000000000000000e+01,6.952000000000000455e+02
1.800000000000000000e+01,6.862000000000000455e+02
1.900000000000000000e+01,6.881000000000000227e+02
2.000000000000000000e+01,4.403999999999999773e+02
2.100000000000000000e+01,5.735000000000000000e+02
2.200000000000000000e+01,6.578999999999999773e+02
2.300000000000000000e+01,6.648999999999999773e+02
2.400000000000000000e+01,6.542999999999999545e+02
2.500000000000000000e+01,6.388999999999999773e+02
2.600000000000000000e+01,4.228999999999999773e+02
2.700000000000000000e+01,5.523999999999999773e+02
2.800000000000000000e+01,5.641000000000000227e+02
2.900000000000000000e+01,5.326000000000000227e+02
3.000000000000000000e+01,4.893000000000000114e+02
3.100000000000000000e+01,3.575000000000000000e+02
