bits,value
2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.280000000000000027e-01
1.100000000000000000e+01,6.209999999999999964e-01
1.200000000000000000e+01,6.219999999999999973e-01
1.300000000000000000e+01,6.209999999999999964e-01
1.400000000000000000e+01,6.209999999999999964e-01
1.500000000000000000e+01,6.219999999999999973e-01
1.600000000000000000e+01,6.219999999999999973e-01
1.700000000000000000e+01,6.219999999999999973e-01
1.800000000000000000e+01,6.219999999999999973e-01
1.900000000000000000e+01,6.219999999999999973e-01
2.000000000000000000e+01,6.219999999999999973e-01
2.100000000000000000e+01,6.029999999999999805e-01
2.200000000000000000e+01,6.219999999999999973e-01
2.300000000000000000e+01,6.219999999999999973e-01
2.400000000000000000e+01,6.219999999999999973e-01
2.500000000000000000e+01,6.219999999999999973e-01
2.600000000000000000e+01,6.219999999999999973e-01
2.700000000000000000e+01,6.169999999999999929e-01
2.800000000000000000e+01,6.219999999999999973e-01
2.900000000000000000e+01,6.219999999999999973e-01
3.000000000000000000e+01,6.039999999999999813e-01
3.100000000000000000e+01,6.219999999999999973e-01
