bits,delta
3.000000000000000000e+01,1.800000000000001599e-02
2.900000000000000000e+01,-1.800000000000001599e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,5.000000000000004441e-03
2.600000000000000000e+01,-5.000000000000004441e-03
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.900000000000001688e-02
2.000000000000000000e+01,-1.900000000000001688e-02
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000888e-03
1.300000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,-1.000000000000000888e-03
1.100000000000000000e+01,1.000000000000000888e-03
1.000000000000000000e+01,-7.000000000000006217e-03
2.000000000000000000e+00,6.280000000000000027e-01
