bits,value
2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.980000000000000426e-01
1.100000000000000000e+01,7.960000000000000409e-01
1.200000000000000000e+01,7.970000000000000417e-01
1.300000000000000000e+01,7.960000000000000409e-01
1.400000000000000000e+01,7.960000000000000409e-01
1.500000000000000000e+01,7.960000000000000409e-01
1.600000000000000000e+01,7.960000000000000409e-01
1.700000000000000000e+01,7.960000000000000409e-01
1.800000000000000000e+01,7.960000000000000409e-01
1.900000000000000000e+01,7.960000000000000409e-01
2.000000000000000000e+01,7.960000000000000409e-01
2.100000000000000000e+01,7.760000000000000231e-01
2.200000000000000000e+01,7.960000000000000409e-01
2.300000000000000000e+01,7.960000000000000409e-01
2.400000000000000000e+01,7.960000000000000409e-01
2.500000000000000000e+01,7.960000000000000409e-01
2.600000000000000000e+01,7.960000000000000409e-01
2.700000000000000000e+01,7.910000000000000364e-01
2.800000000000000000e+01,7.960000000000000409e-01
2.900000000000000000e+01,7.960000000000000409e-01
3.000000000000000000e+01,7.740000000000000213e-01
3.100000000000000000e+01,7.960000000000000409e-01
