bits,value
2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.980000000000000981e-02
1.100000000000000000e+01,7.236363636363636609e-02
1.200000000000000000e+01,6.641666666666666552e-02
1.300000000000000000e+01,6.123076923076923445e-02
1.400000000000000000e+01,5.685714285714286303e-02
1.500000000000000000e+01,5.306666666666667170e-02
1.600000000000000000e+01,4.975000000000000255e-02
1.700000000000000000e+01,4.682352941176470829e-02
1.800000000000000000e+01,4.422222222222222526e-02
1.900000000000000000e+01,4.189473684210526239e-02
2.000000000000000000e+01,3.980000000000000204e-02
2.100000000000000000e+01,3.695238095238095183e-02
2.200000000000000000e+01,3.618181818181818304e-02
2.300000000000000000e+01,3.460869565217391391e-02
2.400000000000000000e+01,3.316666666666667068e-02
2.500000000000000000e+01,3.184000000000000025e-02
2.600000000000000000e+01,3.061538461538461722e-02
2.700000000000000000e+01,2.929629629629629597e-02
2.800000000000000000e+01,2.842857142857143152e-02
2.900000000000000000e+01,2.744827586206896597e-02
3.000000000000000000e+01,2.580000000000000002e-02
3.100000000000000000e+01,2.567741935483871044e-02
