bits,pct_error
2.000000000000000000e+00,9.923614967953075450e+01
3.000000000000000000e+00,9.150711369108070414e+01
4.000000000000000000e+00,7.283151828768578184e+01
5.000000000000000000e+00,5.104237771169705695e+01
6.000000000000000000e+00,3.311602829278192672e+01
7.000000000000000000e+00,2.031189045149155703e+01
8.000000000000000000e+00,1.201374206840145398e+01
9.000000000000000000e+00,6.947658515789291833e+00
1.000000000000000000e+01,3.950038770166098612e+00
1.100000000000000000e+01,2.229923963816624610e+00
1.200000000000000000e+01,1.220773158737839204e+00
1.300000000000000000e+01,6.747045701062730494e-01
1.400000000000000000e+01,3.714761582242234739e-01
1.500000000000000000e+01,1.982817865237765653e-01
1.600000000000000000e+01,1.075522307267171712e-01
1.700000000000000000e+01,5.858231897119284270e-02
1.800000000000000000e+01,3.078791962862355291e-02
1.900000000000000000e+01,1.651098606032519456e-02
2.000000000000000000e+01,8.676116841725574000e-03
2.100000000000000000e+01,4.443566055814781972e-03
2.200000000000000000e+01,2.256577275099919469e-03
2.300000000000000000e+01,1.067675185837593061e-03
2.400000000000000000e+01,5.319692946027420244e-04
2.500000000000000000e+01,2.798165184649612901e-04
2.600000000000000000e+01,1.377225670496816856e-04
2.700000000000000000e+01,6.674843982232029293e-05
2.800000000000000000e+01,3.601326363587211435e-05
2.900000000000000000e+01,1.658953037972113624e-05
3.000000000000000000e+01,8.139093919037129895e-06
3.100000000000000000e+01,4.332997797936015675e-06
3.200000000000000000e+01,2.351377618372361154e-06
