bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.634210526315789391e-02
6.000000000000000000e+00,2.922563417890520765e-01
7.000000000000000000e+00,5.948188585607940837e-01
8.000000000000000000e+00,6.269529042386186024e-01
9.000000000000000000e+00,6.247754777070063659e-01
1.000000000000000000e+01,6.285895404120444008e-01
1.100000000000000000e+01,6.247553784860557791e-01
1.200000000000000000e+01,6.204549839228296060e-01
1.300000000000000000e+01,6.230400000000000382e-01
1.400000000000000000e+01,6.236932907348242683e-01
1.500000000000000000e+01,6.242553870710294550e-01
1.600000000000000000e+01,6.238130990415334809e-01
1.700000000000000000e+01,6.238130990415334809e-01
1.800000000000000000e+01,6.238130990415334809e-01
1.900000000000000000e+01,6.238130990415334809e-01
2.000000000000000000e+01,6.238130990415334809e-01
2.100000000000000000e+01,6.238130990415334809e-01
2.200000000000000000e+01,6.238130990415334809e-01
2.300000000000000000e+01,6.238130990415334809e-01
2.400000000000000000e+01,6.238130990415334809e-01
2.500000000000000000e+01,6.238130990415334809e-01
2.600000000000000000e+01,6.238130990415334809e-01
2.700000000000000000e+01,6.238130990415334809e-01
2.800000000000000000e+01,6.238130990415334809e-01
2.900000000000000000e+01,6.238130990415334809e-01
3.000000000000000000e+01,6.238130990415334809e-01
3.100000000000000000e+01,6.238130990415334809e-01
3.200000000000000000e+01,6.238130990415334809e-01
