bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,-4.422880294959741221e-04
1.400000000000000000e+01,5.620963362051867307e-04
1.300000000000000000e+01,6.532907348242300571e-04
1.200000000000000000e+01,2.585016077170432247e-03
1.100000000000000000e+01,-4.300394563226173084e-03
1.000000000000000000e+01,-3.834161925988621711e-03
9.000000000000000000e+00,3.814062705038034906e-03
8.000000000000000000e+00,-2.177426531612236538e-03
7.000000000000000000e+00,3.213404567782451871e-02
6.000000000000000000e+00,3.025625167717420072e-01
5.000000000000000000e+00,2.759142365258941965e-01
3.000000000000000000e+00,1.634210526315789391e-02
2.000000000000000000e+00,0.000000000000000000e+00
