bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.268421052631578869e-03
6.000000000000000000e+00,4.870939029817534377e-02
7.000000000000000000e+00,8.497412265154201394e-02
8.000000000000000000e+00,7.836911302982732530e-02
9.000000000000000000e+00,6.941949752300070886e-02
1.000000000000000000e+01,6.285895404120443730e-02
1.100000000000000000e+01,5.679594349873234166e-02
1.200000000000000000e+01,5.170458199356913614e-02
1.300000000000000000e+01,4.792615384615384749e-02
1.400000000000000000e+01,4.454952076677316103e-02
1.500000000000000000e+01,4.161702580473529423e-02
1.600000000000000000e+01,3.898831869009584256e-02
1.700000000000000000e+01,3.669488817891373295e-02
1.800000000000000000e+01,3.465628328008519415e-02
1.900000000000000000e+01,3.283226837060702202e-02
2.000000000000000000e+01,3.119065495207667266e-02
2.100000000000000000e+01,2.970538566864445312e-02
2.200000000000000000e+01,2.835514086552425039e-02
2.300000000000000000e+01,2.712230865397971535e-02
2.400000000000000000e+01,2.599221246006389388e-02
2.500000000000000000e+01,2.495252396166133813e-02
2.600000000000000000e+01,2.399281150159743997e-02
2.700000000000000000e+01,2.310418885339013059e-02
2.800000000000000000e+01,2.227903925148333811e-02
2.900000000000000000e+01,2.151079651867356807e-02
3.000000000000000000e+01,2.079376996805111510e-02
3.100000000000000000e+01,2.012300319488817546e-02
3.200000000000000000e+01,1.949415934504792128e-02
