bits,value
2.000000000000000000e+00,6.829999999999999716e+01
3.000000000000000000e+00,8.270000000000000284e+01
5.000000000000000000e+00,6.629999999999999716e+01
6.000000000000000000e+00,6.979999999999999716e+01
7.000000000000000000e+00,4.950000000000000000e+01
8.000000000000000000e+00,5.360000000000000142e+01
9.000000000000000000e+00,4.420000000000000284e+01
1.000000000000000000e+01,8.840000000000000568e+01
1.100000000000000000e+01,5.770000000000000284e+01
1.200000000000000000e+01,6.360000000000000142e+01
1.300000000000000000e+01,7.470000000000000284e+01
1.400000000000000000e+01,7.259999999999999432e+01
1.500000000000000000e+01,6.900000000000000000e+01
1.600000000000000000e+01,7.370000000000000284e+01
1.700000000000000000e+01,7.820000000000000284e+01
1.800000000000000000e+01,6.609999999999999432e+01
1.900000000000000000e+01,8.559999999999999432e+01
2.000000000000000000e+01,9.109999999999999432e+01
2.100000000000000000e+01,8.850000000000000000e+01
2.200000000000000000e+01,9.250000000000000000e+01
2.300000000000000000e+01,9.479999999999999716e+01
2.400000000000000000e+01,9.870000000000000284e+01
2.500000000000000000e+01,9.029999999999999716e+01
2.600000000000000000e+01,7.409999999999999432e+01
2.700000000000000000e+01,8.279999999999999716e+01
2.800000000000000000e+01,6.529999999999999716e+01
2.900000000000000000e+01,6.679999999999999716e+01
3.000000000000000000e+01,8.090000000000000568e+01
3.100000000000000000e+01,9.629999999999999716e+01
3.200000000000000000e+01,8.550000000000000000e+01
