bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.029999999999999749e-03
6.000000000000000000e+00,1.719999999999999862e-01
7.000000000000000000e+00,4.430000000000000049e-01
8.000000000000000000e+00,4.759999999999999787e-01
9.000000000000000000e+00,4.959999999999999964e-01
1.000000000000000000e+01,5.110000000000000098e-01
1.100000000000000000e+01,5.010000000000000009e-01
1.200000000000000000e+01,5.010000000000000009e-01
1.300000000000000000e+01,5.020000000000000018e-01
1.400000000000000000e+01,5.020000000000000018e-01
1.500000000000000000e+01,5.020000000000000018e-01
1.600000000000000000e+01,5.020000000000000018e-01
1.700000000000000000e+01,5.020000000000000018e-01
1.800000000000000000e+01,5.020000000000000018e-01
1.900000000000000000e+01,5.020000000000000018e-01
2.000000000000000000e+01,5.020000000000000018e-01
2.100000000000000000e+01,5.020000000000000018e-01
2.200000000000000000e+01,5.020000000000000018e-01
2.300000000000000000e+01,5.020000000000000018e-01
2.400000000000000000e+01,5.020000000000000018e-01
2.500000000000000000e+01,5.020000000000000018e-01
2.600000000000000000e+01,5.020000000000000018e-01
2.700000000000000000e+01,5.020000000000000018e-01
2.800000000000000000e+01,5.020000000000000018e-01
2.900000000000000000e+01,5.020000000000000018e-01
3.000000000000000000e+01,5.020000000000000018e-01
3.100000000000000000e+01,5.020000000000000018e-01
3.200000000000000000e+01,5.020000000000000018e-01
