bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.990000000000000574e-03
6.000000000000000000e+00,2.540000000000000036e-01
7.000000000000000000e+00,6.029999999999999805e-01
8.000000000000000000e+00,6.480000000000000204e-01
9.000000000000000000e+00,6.640000000000000346e-01
1.000000000000000000e+01,6.780000000000000471e-01
1.100000000000000000e+01,6.690000000000000391e-01
1.200000000000000000e+01,6.680000000000000382e-01
1.300000000000000000e+01,6.700000000000000400e-01
1.400000000000000000e+01,6.700000000000000400e-01
1.500000000000000000e+01,6.690000000000000391e-01
1.600000000000000000e+01,6.700000000000000400e-01
1.700000000000000000e+01,6.700000000000000400e-01
1.800000000000000000e+01,6.700000000000000400e-01
1.900000000000000000e+01,6.700000000000000400e-01
2.000000000000000000e+01,6.700000000000000400e-01
2.100000000000000000e+01,6.700000000000000400e-01
2.200000000000000000e+01,6.700000000000000400e-01
2.300000000000000000e+01,6.700000000000000400e-01
2.400000000000000000e+01,6.700000000000000400e-01
2.500000000000000000e+01,6.700000000000000400e-01
2.600000000000000000e+01,6.700000000000000400e-01
2.700000000000000000e+01,6.700000000000000400e-01
2.800000000000000000e+01,6.700000000000000400e-01
2.900000000000000000e+01,6.700000000000000400e-01
3.000000000000000000e+01,6.700000000000000400e-01
3.100000000000000000e+01,6.700000000000000400e-01
3.200000000000000000e+01,6.700000000000000400e-01
