bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.598000000000000028e-03
6.000000000000000000e+00,4.233333333333333393e-02
7.000000000000000000e+00,8.614285714285714601e-02
8.000000000000000000e+00,8.100000000000000255e-02
9.000000000000000000e+00,7.377777777777777546e-02
1.000000000000000000e+01,6.779999999999999916e-02
1.100000000000000000e+01,6.081818181818181984e-02
1.200000000000000000e+01,5.566666666666666985e-02
1.300000000000000000e+01,5.153846153846153993e-02
1.400000000000000000e+01,4.785714285714286198e-02
1.500000000000000000e+01,4.460000000000000075e-02
1.600000000000000000e+01,4.187500000000000250e-02
1.700000000000000000e+01,3.941176470588235448e-02
1.800000000000000000e+01,3.722222222222222598e-02
1.900000000000000000e+01,3.526315789473684348e-02
2.000000000000000000e+01,3.350000000000000200e-02
2.100000000000000000e+01,3.190476190476190799e-02
2.200000000000000000e+01,3.045454545454545636e-02
2.300000000000000000e+01,2.913043478260869679e-02
2.400000000000000000e+01,2.791666666666666949e-02
2.500000000000000000e+01,2.680000000000000090e-02
2.600000000000000000e+01,2.576923076923076997e-02
2.700000000000000000e+01,2.481481481481481732e-02
2.800000000000000000e+01,2.392857142857143099e-02
2.900000000000000000e+01,2.310344827586207142e-02
3.000000000000000000e+01,2.233333333333333351e-02
3.100000000000000000e+01,2.161290322580645268e-02
3.200000000000000000e+01,2.093750000000000125e-02
