bits,pct_error
2.000000000000000000e+00,9.934032288464632643e+01
3.000000000000000000e+00,9.370096539231863630e+01
4.000000000000000000e+00,7.914934674785895652e+01
5.000000000000000000e+00,5.806309485977346441e+01
6.000000000000000000e+00,3.835034716281700895e+01
7.000000000000000000e+00,2.384601862974126263e+01
8.000000000000000000e+00,1.424293782117522511e+01
9.000000000000000000e+00,8.266064753247933439e+00
1.000000000000000000e+01,4.717694693747696455e+00
1.100000000000000000e+01,2.656527298941827375e+00
1.200000000000000000e+01,1.471925431476186263e+00
1.300000000000000000e+01,8.062906801404262636e-01
1.400000000000000000e+01,4.367676725533700677e-01
1.500000000000000000e+01,2.352099289592760323e-01
1.600000000000000000e+01,1.263878522257238513e-01
1.700000000000000000e+01,6.766847581357895991e-02
1.800000000000000000e+01,3.442951025001341619e-02
1.900000000000000000e+01,1.825832671975356064e-02
2.000000000000000000e+01,9.296287523790686472e-03
2.100000000000000000e+01,4.692213255194391426e-03
2.200000000000000000e+01,2.306543554682476040e-03
2.300000000000000000e+01,1.157199317363739053e-03
2.400000000000000000e+01,5.820469120979251997e-04
2.500000000000000000e+01,2.859492797375134498e-04
2.600000000000000000e+01,1.421376588569858940e-04
2.700000000000000000e+01,7.275743705747007102e-05
2.800000000000000000e+01,3.477646065261100704e-05
2.900000000000000000e+01,1.726635294740930249e-05
3.000000000000000000e+01,8.746053280595976546e-06
3.100000000000000000e+01,4.630092954997651074e-06
3.200000000000000000e+01,2.502740936590046152e-06
