bits,pct_error
2.000000000000000000e+00,9.969660197866373608e+01
3.000000000000000000e+00,9.652080160790475816e+01
4.000000000000000000e+00,8.428729012951083632e+01
5.000000000000000000e+00,6.414963843664904175e+01
6.000000000000000000e+00,4.363998365856107853e+01
7.000000000000000000e+00,2.775568074985653411e+01
8.000000000000000000e+00,1.698664492691984762e+01
9.000000000000000000e+00,1.008886337472960903e+01
1.000000000000000000e+01,5.901179711492304136e+00
1.100000000000000000e+01,3.413165835650295410e+00
1.200000000000000000e+01,1.966358407001792541e+00
1.300000000000000000e+01,1.128339249809304778e+00
1.400000000000000000e+01,6.482898610556731001e-01
1.500000000000000000e+01,3.696070536931785333e-01
1.600000000000000000e+01,2.085143511088052570e-01
1.700000000000000000e+01,1.158741887666528553e-01
1.800000000000000000e+01,6.352989913158052504e-02
1.900000000000000000e+01,3.238054415768256561e-02
2.000000000000000000e+01,1.446813272188027764e-02
2.100000000000000000e+01,7.120022703292171184e-03
2.200000000000000000e+01,3.686962124376527965e-03
2.300000000000000000e+01,1.858389386208254834e-03
2.400000000000000000e+01,9.463542607294449238e-04
2.500000000000000000e+01,4.962556844986267500e-04
2.600000000000000000e+01,2.524482947293822904e-04
2.700000000000000000e+01,1.259754992717711827e-04
2.800000000000000000e+01,6.253563416477071486e-05
2.900000000000000000e+01,3.198827537056036504e-05
3.000000000000000000e+01,1.422497370572534563e-05
3.100000000000000000e+01,6.968710034570008765e-06
3.200000000000000000e+01,3.792974286888621887e-06
