bits,pct_error
2.000000000000000000e+00,9.961645977744639424e+01
3.000000000000000000e+00,9.472414049131623415e+01
4.000000000000000000e+00,7.934688411530900964e+01
5.000000000000000000e+00,5.821733680945602174e+01
6.000000000000000000e+00,3.874155984468799119e+01
7.000000000000000000e+00,2.424194450932936462e+01
8.000000000000000000e+00,1.478396934467301627e+01
9.000000000000000000e+00,8.878242171018339235e+00
1.000000000000000000e+01,5.323287558327097990e+00
1.100000000000000000e+01,3.222887880866074806e+00
1.200000000000000000e+01,1.996930358219571211e+00
1.300000000000000000e+01,1.280860826867706415e+00
1.400000000000000000e+01,8.623585801963157271e-01
1.500000000000000000e+01,5.265522152676865852e-01
1.600000000000000000e+01,3.269245585290234124e-01
1.700000000000000000e+01,1.744271369040535091e-01
1.800000000000000000e+01,9.138922849314802532e-02
1.900000000000000000e+01,4.822130257908894407e-02
2.000000000000000000e+01,2.312856211051315253e-02
2.100000000000000000e+01,1.208646745542571455e-02
2.200000000000000000e+01,6.065090826537090918e-03
2.300000000000000000e+01,2.972944787897514960e-03
2.400000000000000000e+01,1.521047096403782290e-03
2.500000000000000000e+01,7.338843718017151437e-04
2.600000000000000000e+01,3.703608574282662709e-04
2.700000000000000000e+01,1.823421060375462533e-04
2.800000000000000000e+01,9.335512808581081397e-05
2.900000000000000000e+01,4.755209797151299737e-05
3.000000000000000000e+01,2.239891975388626406e-05
3.100000000000000000e+01,1.168879967953174442e-05
3.200000000000000000e+01,6.032260749502516334e-06
