bits,pct_error
2.000000000000000000e+00,9.951584348913098665e+01
3.000000000000000000e+00,9.460114907534395456e+01
4.000000000000000000e+00,8.062996562631403208e+01
5.000000000000000000e+00,6.068355532088240523e+01
6.000000000000000000e+00,4.124955763338041947e+01
7.000000000000000000e+00,2.636948435368840649e+01
8.000000000000000000e+00,1.620631278874200021e+01
9.000000000000000000e+00,9.720985732636735932e+00
1.000000000000000000e+01,5.741699150339776736e+00
1.100000000000000000e+01,3.343432924908692705e+00
1.200000000000000000e+01,1.923930334579962986e+00
1.300000000000000000e+01,1.098377327291585104e+00
1.400000000000000000e+01,6.193137650922433401e-01
1.500000000000000000e+01,3.427044012361696312e-01
1.600000000000000000e+01,1.894475872177281417e-01
1.700000000000000000e+01,1.028143088243253789e-01
1.800000000000000000e+01,5.479877615776845845e-02
1.900000000000000000e+01,2.909104245187246751e-02
2.000000000000000000e+01,1.512923128261643886e-02
2.100000000000000000e+01,7.421464086470879080e-03
2.200000000000000000e+01,3.895329824201855529e-03
2.300000000000000000e+01,2.053647814659877776e-03
2.400000000000000000e+01,9.213753200427975956e-04
2.500000000000000000e+01,4.707972108368270675e-04
2.600000000000000000e+01,2.422362072313945637e-04
2.700000000000000000e+01,1.196703054642037881e-04
2.800000000000000000e+01,5.941064607176820971e-05
2.900000000000000000e+01,3.193128127683932051e-05
3.000000000000000000e+01,1.448440511556626503e-05
3.100000000000000000e+01,7.259124198283613302e-06
3.200000000000000000e+01,3.915104527732608129e-06
