bits,pct_error
2.000000000000000000e+00,9.900222979870039808e+01
3.000000000000000000e+00,8.871954519724108934e+01
4.000000000000000000e+00,6.928996707975250047e+01
5.000000000000000000e+00,4.778290152280908387e+01
6.000000000000000000e+00,3.071656305266102649e+01
7.000000000000000000e+00,1.877483837786562759e+01
8.000000000000000000e+00,1.105249940715346213e+01
9.000000000000000000e+00,6.378676221686770731e+00
1.000000000000000000e+01,3.607289809685622739e+00
1.100000000000000000e+01,2.014576842391517797e+00
1.200000000000000000e+01,1.112721456105571161e+00
1.300000000000000000e+01,6.114088268602535514e-01
1.400000000000000000e+01,3.297190985266724161e-01
1.500000000000000000e+01,1.732645339627159609e-01
1.600000000000000000e+01,9.373768843755728164e-02
1.700000000000000000e+01,4.972546855345537364e-02
1.800000000000000000e+01,2.641772740183292653e-02
1.900000000000000000e+01,1.381036910956514631e-02
2.000000000000000000e+01,7.010723229705410897e-03
2.100000000000000000e+01,3.539418305160896890e-03
2.200000000000000000e+01,1.781882564267613578e-03
2.300000000000000000e+01,8.394267476143523659e-04
2.400000000000000000e+01,4.331117952109163425e-04
2.500000000000000000e+01,2.243825004983856499e-04
2.600000000000000000e+01,1.082867270958272446e-04
2.700000000000000000e+01,5.345953913821600254e-05
2.800000000000000000e+01,2.764570713979971940e-05
2.900000000000000000e+01,1.375315188790210910e-05
3.000000000000000000e+01,6.896152213308044192e-06
3.100000000000000000e+01,3.460586455195778165e-06
3.200000000000000000e+01,1.978265651635700548e-06
