bits,pct_error
2.000000000000000000e+00,9.927656527647037876e+01
3.000000000000000000e+00,9.246022197389110886e+01
4.000000000000000000e+00,7.743836391678790676e+01
5.000000000000000000e+00,5.676783816408865135e+01
6.000000000000000000e+00,3.775088769604557370e+01
7.000000000000000000e+00,2.371452684639040953e+01
8.000000000000000000e+00,1.422922920157230386e+01
9.000000000000000000e+00,8.293076778867655818e+00
1.000000000000000000e+01,4.741041630280886210e+00
1.100000000000000000e+01,2.679362082337845230e+00
1.200000000000000000e+01,1.493438885705641539e+00
1.300000000000000000e+01,8.267219827213977412e-01
1.400000000000000000e+01,4.520506878967334718e-01
1.500000000000000000e+01,2.444524641009827859e-01
1.600000000000000000e+01,1.321318101638342402e-01
1.700000000000000000e+01,7.078877474340675158e-02
1.800000000000000000e+01,3.727003063150479550e-02
1.900000000000000000e+01,1.959451598648547996e-02
2.000000000000000000e+01,9.763913987143562137e-03
2.100000000000000000e+01,4.978064490134465059e-03
2.200000000000000000e+01,2.433153084824852402e-03
2.300000000000000000e+01,1.241544254965086178e-03
2.400000000000000000e+01,6.233333411548474309e-04
2.500000000000000000e+01,3.117331888011135423e-04
2.600000000000000000e+01,1.512430174277261342e-04
2.700000000000000000e+01,7.560104075595032837e-05
2.800000000000000000e+01,3.772658397961977251e-05
2.900000000000000000e+01,1.897860350661692425e-05
3.000000000000000000e+01,9.440719580659397752e-06
3.100000000000000000e+01,4.926013166674108252e-06
3.200000000000000000e+01,2.679473401232580742e-06
