bits,pct_error
2.000000000000000000e+00,9.968423221280666269e+01
3.000000000000000000e+00,9.607187473708815162e+01
4.000000000000000000e+00,8.304713208818695591e+01
5.000000000000000000e+00,6.291560531069671924e+01
6.000000000000000000e+00,4.289170255670781984e+01
7.000000000000000000e+00,2.744758041178593899e+01
8.000000000000000000e+00,1.703415385630653489e+01
9.000000000000000000e+00,1.040540760321939651e+01
1.000000000000000000e+01,6.321373762743537128e+00
1.100000000000000000e+01,3.863504058821381371e+00
1.200000000000000000e+01,2.400714610725554810e+00
1.300000000000000000e+01,1.517571014683894770e+00
1.400000000000000000e+01,9.654089547245243708e-01
1.500000000000000000e+01,6.220911316790864731e-01
1.600000000000000000e+01,3.812531125423631595e-01
1.700000000000000000e+01,2.170324499120944162e-01
1.800000000000000000e+01,1.175559561836520273e-01
1.900000000000000000e+01,6.018076148636973544e-02
2.000000000000000000e+01,3.104229514721111235e-02
2.100000000000000000e+01,1.457006917481059455e-02
2.200000000000000000e+01,7.317398970765113392e-03
2.300000000000000000e+01,3.564939271645081037e-03
2.400000000000000000e+01,1.816496092576633335e-03
2.500000000000000000e+01,9.587065609134430046e-04
2.600000000000000000e+01,4.798785638703302993e-04
2.700000000000000000e+01,2.403599181332906614e-04
2.800000000000000000e+01,1.208129601952689659e-04
2.900000000000000000e+01,5.487574411465703008e-05
3.000000000000000000e+01,2.740365260346420371e-05
3.100000000000000000e+01,1.248064827369479368e-05
3.200000000000000000e+01,6.722167329636778359e-06
