bits,pct_error
2.000000000000000000e+00,9.955970848363543269e+01
3.000000000000000000e+00,9.531689260214093906e+01
4.000000000000000000e+00,8.165230383239095602e+01
5.000000000000000000e+00,6.148258027812791227e+01
6.000000000000000000e+00,4.135562631168535574e+01
7.000000000000000000e+00,2.590967082226323726e+01
8.000000000000000000e+00,1.551850804364279135e+01
9.000000000000000000e+00,9.047679266049748037e+00
1.000000000000000000e+01,5.173613516787540334e+00
1.100000000000000000e+01,2.914859021788403837e+00
1.200000000000000000e+01,1.623349136854004504e+00
1.300000000000000000e+01,8.891727148910009149e-01
1.400000000000000000e+01,4.861607560405178940e-01
1.500000000000000000e+01,2.629443051484977034e-01
1.600000000000000000e+01,1.411165799586414638e-01
1.700000000000000000e+01,7.522294242609484094e-02
1.800000000000000000e+01,3.968933496404739719e-02
1.900000000000000000e+01,2.070595718495251564e-02
2.000000000000000000e+01,1.056515973647355333e-02
2.100000000000000000e+01,5.284210619576032962e-03
2.200000000000000000e+01,2.527579078721445879e-03
2.300000000000000000e+01,1.291900102217365337e-03
2.400000000000000000e+01,6.465929419483646638e-04
2.500000000000000000e+01,3.243458838679789415e-04
2.600000000000000000e+01,1.636087092894369813e-04
2.700000000000000000e+01,8.177287023070078931e-05
2.800000000000000000e+01,4.040847824532488970e-05
2.900000000000000000e+01,2.031114961299960750e-05
3.000000000000000000e+01,9.915845603520738425e-06
3.100000000000000000e+01,5.049868228341429742e-06
3.200000000000000000e+01,2.682584504796298278e-06
