bits,pct_error
2.000000000000000000e+00,9.923654771087193183e+01
3.000000000000000000e+00,9.133099603770983776e+01
4.000000000000000000e+00,7.357901412956785236e+01
5.000000000000000000e+00,5.193873512567859763e+01
6.000000000000000000e+00,3.345689768764642480e+01
7.000000000000000000e+00,2.046525317732945481e+01
8.000000000000000000e+00,1.203715985382694953e+01
9.000000000000000000e+00,6.926668124586933928e+00
1.000000000000000000e+01,3.910578770613721833e+00
1.100000000000000000e+01,2.178182699925053978e+00
1.200000000000000000e+01,1.201345403286822044e+00
1.300000000000000000e+01,6.569564373619707354e-01
1.400000000000000000e+01,3.615087393188899934e-01
1.500000000000000000e+01,1.928427664709731482e-01
1.600000000000000000e+01,1.055583868460732017e-01
1.700000000000000000e+01,5.799010123695606811e-02
1.800000000000000000e+01,3.317232023375867034e-02
1.900000000000000000e+01,1.877390671950814743e-02
2.000000000000000000e+01,1.081435028697909535e-02
2.100000000000000000e+01,4.961092114027982648e-03
2.200000000000000000e+01,2.552612092877593313e-03
2.300000000000000000e+01,1.212787485484352482e-03
2.400000000000000000e+01,6.908424776699152291e-04
2.500000000000000000e+01,2.985343419176937413e-04
2.600000000000000000e+01,1.595426222693552775e-04
2.700000000000000000e+01,8.021297379139984910e-05
2.800000000000000000e+01,4.104164726442431155e-05
2.900000000000000000e+01,2.016608319276863576e-05
3.000000000000000000e+01,8.667478374188603035e-06
3.100000000000000000e+01,4.858502312457079378e-06
3.200000000000000000e+01,2.819623146407301691e-06
