bits,pct_error
2.000000000000000000e+00,9.936585638782766239e+01
3.000000000000000000e+00,9.381077257123324387e+01
4.000000000000000000e+00,7.978137874662286322e+01
5.000000000000000000e+00,5.917029842586800470e+01
6.000000000000000000e+00,3.924546261308807260e+01
7.000000000000000000e+00,2.446042580511605280e+01
8.000000000000000000e+00,1.462336435895597653e+01
9.000000000000000000e+00,8.480473375408957182e+00
1.000000000000000000e+01,4.834369458327310021e+00
1.100000000000000000e+01,2.722200211759951749e+00
1.200000000000000000e+01,1.513088935649594235e+00
1.300000000000000000e+01,8.339367502617953676e-01
1.400000000000000000e+01,4.555946950714845900e-01
1.500000000000000000e+01,2.481182149098782597e-01
1.600000000000000000e+01,1.322242067148505507e-01
1.700000000000000000e+01,7.110651741541995641e-02
1.800000000000000000e+01,3.725087398253332238e-02
1.900000000000000000e+01,1.990521704313026261e-02
2.000000000000000000e+01,1.087563699718092393e-02
2.100000000000000000e+01,5.139712566863699483e-03
2.200000000000000000e+01,2.558983162020472043e-03
2.300000000000000000e+01,1.299327789957593557e-03
2.400000000000000000e+01,6.481183937064024852e-04
2.500000000000000000e+01,3.345622762609390378e-04
2.600000000000000000e+01,1.573711785536489795e-04
2.700000000000000000e+01,8.161918789189872789e-05
2.800000000000000000e+01,4.066380448997427834e-05
2.900000000000000000e+01,2.067143445107813256e-05
3.000000000000000000e+01,9.648274322056984398e-06
3.100000000000000000e+01,5.141585463216996637e-06
3.200000000000000000e+01,2.899500937697365032e-06
