bits,pct_error
2.000000000000000000e+00,9.970369185993378380e+01
3.000000000000000000e+00,9.646836195718795182e+01
4.000000000000000000e+00,8.429024758982785670e+01
5.000000000000000000e+00,6.440127397125417019e+01
6.000000000000000000e+00,4.393103225704501824e+01
7.000000000000000000e+00,2.794140512073900595e+01
8.000000000000000000e+00,1.708347179782502323e+01
9.000000000000000000e+00,1.013715960742796085e+01
1.000000000000000000e+01,5.921587132273570475e+00
1.100000000000000000e+01,3.419269937312200636e+00
1.200000000000000000e+01,1.964467487429931047e+00
1.300000000000000000e+01,1.124534447973763340e+00
1.400000000000000000e+01,6.435275874945726171e-01
1.500000000000000000e+01,3.659817849443559035e-01
1.600000000000000000e+01,2.058896108986940643e-01
1.700000000000000000e+01,1.141865415687555729e-01
1.800000000000000000e+01,6.259815645559445307e-02
1.900000000000000000e+01,3.200773323216105082e-02
2.000000000000000000e+01,1.449910286231761644e-02
2.100000000000000000e+01,7.042075276087980673e-03
2.200000000000000000e+01,3.647006182954353869e-03
2.300000000000000000e+01,1.835961456445475920e-03
2.400000000000000000e+01,9.335611910283382912e-04
2.500000000000000000e+01,4.896685791883991336e-04
2.600000000000000000e+01,2.499319059809602321e-04
2.700000000000000000e+01,1.241279756535241163e-04
2.800000000000000000e+01,6.175502336193561682e-05
2.900000000000000000e+01,3.159536573619219784e-05
3.000000000000000000e+01,1.417134105939654708e-05
3.100000000000000000e+01,6.917085133550166093e-06
3.200000000000000000e+01,3.772183037232949147e-06
